  0   0 { (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   0
  0   0 { (   1.000,    1.000), (   1.000,    1.000), (   1.000,    1.000), (   1.000,    1.000), (   1.000,    1.000) }   0   0
  0   0 { (   1.000,    0.000), (   1.000,    0.000), (   1.000,    0.000), (   1.000,    0.000), (   1.000,    0.000) }   0   0
  0   0 { (   0.000,    0.000), (   0.000,    0.000), (   0.000,    0.000), (   0.000,    0.000), (   0.000,    0.000) }   0   0
  0   0 { (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   0
  0   0 { (   0.017,    0.999), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   1
  0   1 { (   0.023,    0.999), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   2
  0   2 { (   0.027,    0.998), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   3
  0   3 { (   0.031,    0.998), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   4
  0   4 { (   0.033,    0.997), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   5
  0   5 { (   0.036,    0.997), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   6
  0   6 { (   0.038,    0.996), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   7
  0   7 { (   0.040,    0.996), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   8
  0   8 { (   0.042,    0.995), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0   9
  0   9 { (   0.168,    0.965), (   0.159,    0.961), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   1   0
  0  10 { (   0.171,    0.964), (   0.161,    0.961), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  10
  0  11 { (   0.174,    0.963), (   0.162,    0.961), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  11
  0  12 { (   0.177,    0.963), (   0.163,    0.961), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  12
  0  13 { (   0.179,    0.962), (   0.164,    0.960), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  13
  0  14 { (   0.182,    0.961), (   0.165,    0.960), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  14
  0  15 { (   0.184,    0.961), (   0.165,    0.960), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  15
  0  16 { (   0.186,    0.960), (   0.166,    0.959), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  16
  0  17 { (   0.187,    0.959), (   0.167,    0.959), (   0.000,    1.000), (   0.000,    1.000), (   0.000,    1.000) }   0  17
  0  18 { (   0.188,    0.959), (   0.167,    0.959), (   0.000,    1.000), (   0.000,    1.000), (   0.109,    0.961) }   4   0
  0  19 { (   0.188,    0.959), (   0.168,    0.959), (   0.000,    1.000), (   0.141,    0.950), (   0.141,    0.950) }   3   0
  0  20 { (   0.484,    0.854), (   0.527,    0.831), (   0.582,    0.793), (   0.582,    0.793), (   0.582,    0.793) }   2   0
  0  21 { (   0.488,    0.853), (   0.529,    0.830), (   0.584,    0.793), (   0.584,    0.793), (   0.584,    0.793) }   0  18
  0  22 { (   0.491,    0.851), (   0.531,    0.830), (   0.585,    0.792), (   0.585,    0.792), (   0.585,    0.792) }   0  19
  0  23 { (   0.495,    0.850), (   0.533,    0.829), (   0.586,    0.792), (   0.586,    0.792), (   0.586,    0.792) }   0  20
  0  24 { (   0.498,    0.849), (   0.535,    0.828), (   0.588,    0.791), (   0.588,    0.791), (   0.588,    0.791) }   0  21
  0  25 { (   0.501,    0.848), (   0.537,    0.828), (   0.589,    0.791), (   0.589,    0.791), (   0.589,    0.791) }   0  22
  0  26 { (   0.504,    0.846), (   0.539,    0.827), (   0.590,    0.790), (   0.590,    0.790), (   0.590,    0.790) }   0  23
  0  27 { (   0.507,    0.845), (   0.540,    0.826), (   0.591,    0.790), (   0.591,    0.790), (   0.591,    0.790) }   0  24
  0  28 { (   0.510,    0.844), (   0.542,    0.825), (   0.593,    0.789), (   0.593,    0.789), (   0.593,    0.789) }   0  25
  0  29 { (   0.513,    0.843), (   0.544,    0.825), (   0.594,    0.789), (   0.594,    0.789), (   0.594,    0.789) }   0  26
  0  30 { (   0.516,    0.841), (   0.546,    0.824), (   0.595,    0.788), (   0.595,    0.788), (   0.595,    0.788) }   0  27
  0  31 { (   0.519,    0.840), (   0.547,    0.823), (   0.596,    0.788), (   0.596,    0.788), (   0.596,    0.788) }   0  28
  0  32 { (   0.522,    0.839), (   0.549,    0.822), (   0.597,    0.787), (   0.597,    0.787), (   0.597,    0.787) }   0  29
  0  33 { (   0.525,    0.837), (   0.550,    0.822), (   0.598,    0.787), (   0.598,    0.787), (   0.598,    0.787) }   0  30
  0  34 { (   0.528,    0.836), (   0.552,    0.821), (   0.599,    0.786), (   0.599,    0.786), (   0.599,    0.786) }   0  31
  0  35 { (   0.530,    0.834), (   0.554,    0.820), (   0.601,    0.785), (   0.601,    0.785), (   0.601,    0.785) }   0  32
  0  36 { (   0.533,    0.833), (   0.555,    0.819), (   0.602,    0.785), (   0.602,    0.785), (   0.602,    0.785) }   0  33
  0  37 { (   0.536,    0.831), (   0.557,    0.818), (   0.603,    0.784), (   0.603,    0.784), (   0.603,    0.784) }   0  34
  0  38 { (   0.539,    0.830), (   0.559,    0.817), (   0.604,    0.784), (   0.604,    0.784), (   0.604,    0.784) }   0  35
  0  39 { (   0.542,    0.828), (   0.560,    0.816), (   0.605,    0.783), (   0.605,    0.783), (   0.605,    0.783) }   0  36
  0  40 { (   0.545,    0.826), (   0.562,    0.815), (   0.606,    0.782), (   0.606,    0.782), (   0.606,    0.782) }   0  37
  0  41 { (   0.548,    0.825), (   0.564,    0.815), (   0.608,    0.782), (   0.608,    0.782), (   0.608,    0.782) }   0  38
  0  42 { (   0.551,    0.823), (   0.565,    0.814), (   0.609,    0.781), (   0.609,    0.781), (   0.609,    0.781) }   0  39
  0  43 { (   0.554,    0.821), (   0.567,    0.812), (   0.610,    0.780), (   0.610,    0.780), (   0.610,    0.780) }   0  40
  0  44 { (   0.557,    0.819), (   0.569,    0.811), (   0.611,    0.780), (   0.611,    0.780), (   0.611,    0.780) }   0  41
  0  45 { (   0.560,    0.817), (   0.571,    0.810), (   0.612,    0.779), (   0.612,    0.779), (   0.612,    0.779) }   0  42
  0  46 { (   0.563,    0.816), (   0.572,    0.809), (   0.614,    0.778), (   0.614,    0.778), (   0.614,    0.778) }   0  43
  0  47 { (   0.566,    0.814), (   0.574,    0.808), (   0.615,    0.777), (   0.615,    0.777), (   0.615,    0.777) }   0  44
  0  48 { (   0.569,    0.812), (   0.576,    0.807), (   0.616,    0.776), (   0.616,    0.776), (   0.616,    0.776) }   0  45
  0  49 { (   0.572,    0.809), (   0.578,    0.806), (   0.617,    0.776), (   0.617,    0.776), (   0.617,    0.776) }   0  46
  0  50 { (   0.575,    0.807), (   0.579,    0.805), (   0.619,    0.775), (   0.619,    0.775), (   0.619,    0.775) }   0  47
  0  51 { (   0.579,    0.805), (   0.581,    0.803), (   0.620,    0.774), (   0.620,    0.774), (   0.620,    0.774) }   0  48
  0  52 { (   0.582,    0.803), (   0.583,    0.802), (   0.621,    0.773), (   0.621,    0.773), (   0.621,    0.773) }   0  49
  0  53 { (   0.585,    0.801), (   0.585,    0.801), (   0.622,    0.772), (   0.622,    0.772), (   0.622,    0.772) }   0  50
  0  54 { (   0.608,    0.785), (   0.615,    0.780), (   0.643,    0.758), (   0.643,    0.758), (   0.643,    0.758) }   1   6
  0  55 { (   0.619,    0.777), (   0.619,    0.777), (   0.646,    0.756), (   0.646,    0.756), (   0.646,    0.756) }   0  56
  0  56 { (   0.621,    0.776), (   0.622,    0.775), (   0.648,    0.754), (   0.648,    0.754), (   0.648,    0.754) }   1   7
  0  57 { (   0.622,    0.775), (   0.622,    0.775), (   0.648,    0.754), (   0.648,    0.754), (   0.648,    0.754) }   0  57
  0  58 { (   0.625,    0.773), (   0.626,    0.773), (   0.651,    0.752), (   0.651,    0.752), (   0.651,    0.752) }   1   8
  0  59 { (   0.626,    0.772), (   0.626,    0.772), (   0.651,    0.752), (   0.651,    0.752), (   0.651,    0.752) }   0  58
  0  60 { (   0.628,    0.771), (   0.629,    0.770), (   0.653,    0.751), (   0.653,    0.751), (   0.653,    0.751) }   1   9
  0  61 { (   0.629,    0.770), (   0.629,    0.770), (   0.653,    0.751), (   0.653,    0.751), (   0.653,    0.751) }   0  59
  0  62 { (   0.632,    0.768), (   0.632,    0.768), (   0.655,    0.749), (   0.655,    0.749), (   0.655,    0.749) }   1  10
  0  63 { (   0.633,    0.768), (   0.633,    0.768), (   0.655,    0.749), (   0.655,    0.749), (   0.655,    0.749) }   0  60
  0  64 { (   0.635,    0.766), (   0.635,    0.766), (   0.657,    0.748), (   0.657,    0.748), (   0.657,    0.748) }   1  11
  0  65 { (   0.636,    0.766), (   0.636,    0.766), (   0.657,    0.748), (   0.657,    0.748), (   0.657,    0.748) }   0  61
  0  66 { (   0.638,    0.764), (   0.638,    0.764), (   0.659,    0.746), (   0.659,    0.746), (   0.659,    0.746) }   1  12
  0  67 { (   0.638,    0.764), (   0.638,    0.764), (   0.659,    0.746), (   0.659,    0.746), (   0.659,    0.746) }   0  62
  0  68 { (   0.640,    0.762), (   0.641,    0.762), (   0.661,    0.745), (   0.661,    0.745), (   0.661,    0.745) }   1  13
  0  69 { (   0.641,    0.762), (   0.641,    0.762), (   0.661,    0.745), (   0.661,    0.745), (   0.661,    0.745) }   0  63
  0  70 { (   0.643,    0.760), (   0.643,    0.760), (   0.663,    0.744), (   0.663,    0.744), (   0.663,    0.744) }   1  14
  0  71 { (   0.644,    0.760), (   0.644,    0.760), (   0.663,    0.744), (   0.663,    0.744), (   0.663,    0.744) }   0  64
  0  72 { (   0.645,    0.759), (   0.646,    0.758), (   0.665,    0.743), (   0.665,    0.743), (   0.665,    0.743) }   1  15
  0  73 { (   0.646,    0.758), (   0.646,    0.758), (   0.665,    0.742), (   0.665,    0.742), (   0.665,    0.742) }   0  65
  0  74 { (   0.648,    0.757), (   0.648,    0.756), (   0.666,    0.741), (   0.666,    0.741), (   0.666,    0.741) }   1  16
